Texto,Sarcasmo,len_chars,len_words
"Los creadores de ‘Juego de Tronos’ dicen ahora que el vaso de Starbucks no es un gazapo sino que en el universo de ‘Juego de Tronos’ hay, y siempre ha habido, cafeterías",1,169,32
"El artículo «Cinco trucos para salir de un edificio en llamas» es solo para suscriptores, lamenta una persona encerrada en un edificio en llamas",1,144,24
Una nave espacial que acaba de transportar a cinco muñecos de Playmobil a otro planeta no entiende por qué ahora tiene que aspirar el salón,1,139,25
"Bueno, no pondrá cargos en tu contra. Es decir, ese debe ser el equivalente de no estar molesto al recibir un disparo.",0,118,22
Consumo aconseja no emitir anuncios de juguetes en los que aparezcan niños si claramente van dirigidos al padre,1,111,18
Pedro J. Ramírez deja El Mundo para dedicarse al periodismo,1,59,10
Tormentas solares y planetas habitables: las incógnitas que investigará la Agencia Espacial Europea,0,99,13
El sábado fuimos al cine con mis amigos y luego salimos a tomar algo.,0,69,14
"Teruel registra cero contagios por coronavirus, el cien por cien de su población",1,80,13
Aumenta la presión sobre Rusia para  prorrogar el acuerdo de exportación de cereal ucranio por el mar Negro,0,107,18
Astrología Hindú o Védica y el destino escrito en hojas de palmeras,0,67,12
Tú debes ser Rick. Hoy he escuchado mucho de ti. Tu familia se vuelve loca por ti. Tu hija te tiene en una estima muy alta. Eres un sujeto con suerte.,0,150,31
Describe como “ataque de ansiedad” cualquier estado que no sea dormir,1,69,11
" Sí, jaja.",0,10,2
Cocina a los pies del volcán,0,28,6
"Ni Biden, ni Trump: Henry Fonda for president",0,45,8
Los supermercados preguntan si ya hemos aprendido a pelar fruta o deben seguir vendiéndola pelada y troceada,1,108,17
Gripe española,0,14,2
Muere otro que tal,1,18,4
Miles de tuiteros se asustan al ver que Charmander es «trending topic» y pensar que ha fallecido,1,96,17
Samuel 'La Esencia' Molina: «Sueño con ser campeón mundial... Y quitar a mi madre de trabajar»,0,94,16
"Harry Fisher, miembro de la Brigada Abraham Lincoln",0,51,8
"Tras 110 años de gestiones, el seguro del iceberg pagará la reparación del Titanic",1,82,14
"Amherst, el mundo de Emily Dickinson",0,36,6
El ciclón Freddy azota Mozambique,0,33,5
De cómo el David de Miguel Ángel y el Coliseo combaten la invasión de turistas,0,78,15
TV3 cancel·la “Los Hombres de Paco” per les crítiques per la presència del castellà a la sèrie,1,94,17
«Los mejores esclavos de Barcelona»,1,35,5
Elisa Ferreira: “La política de cohesión no puede sacrificarse para invertir en la transición verde y  Defensa”,0,111,17
El juzgado archiva la investigación por el incendio en el que murieron nueve residentes de un geriátrico de Moncada,0,115,19
Houston pide que no llame más gente contando sus problemas,1,58,10
"‘El último verano’: el placer, el poder y los límites del deseo en un excelente drama de tintes incestuosos",0,107,19
"Borussia Dortmund, el rival al que todos querían y que solo acabó sucumbiendo en la final y ante el Madrid",0,106,20
¿A qué ha dedicado el tiempo el robot Curiosity durante su misión en Marte?,1,75,14
La vergüenza de no ser un cascabel,0,34,7
"Liliana Pechené, la niña que temía a los blancos y se convirtió en lideresa indígena en Colombia",0,96,17
La Junta Electoral multa Vox per incloure còctels molotov entre les despeses de la campanya,1,91,15
Vender todo para comer o marcharse de Afganistán,0,48,8
Daniel Ortega confisca la casa de verano de Violeta Chamorro e inaugura un hotel-escuela del sandinismo,0,103,16
La violación antisemita de una niña de 12 años inflama la campaña electoral,0,75,13
Una oportunidad para los independentistas,0,41,5
Un niño reconoce haber torturado a 14 clics del fuerte de Playmobil,1,67,12
La cajera del supermercado se llama Jennifer López,1,50,8
¿Cuál es el mejor ‘after shave’ que hemos probado?,0,50,9
Cómo decorar la sala de espera del dentista para sentirte como en casa,1,70,13
Dice que es vegano porque añade el adjetivo «vegano» a todo lo que come,1,71,14
"Genial, otra tarea que debería haber sido asignada a alguien más.",1,65,11
La adicción al móvil se ceba con las chicas: “Sus confidentes son contactos ‘online’ a los que nunca han visto”,0,111,20
Asciende de «foodie» a «gordi» en menos de dos semanas,1,54,10
"Antonio Tejado, sobrino de María del Monte, en libertad provisional sin fianza junto a los otros acusados de robar en el chalé de la artista",0,140,25
Olvidan una paloma dentro de un «plumas»,1,40,7
La ruta de la PCR,0,17,5
"Buda, protagonista de la noche",0,30,5
Nueva reunión extraordinaria del Patronato de la Fundación Unicaja hoy para elegir qué despacho evaluará la idoneidad de Medel,0,126,19
"Ah, sí, comprar cosas inútiles es claramente una excelente inversión.",1,69,10
"Un hombre recuerda cuando la sociedad estaba menos polarizada y no corría ni delante de los blancos ni de los negros, solo de los grises",1,136,25
Cae el mayor taller de fabricación de monedas falsas de 2 euros en España: cómo saber si la tuya es legal,0,105,21
La aceituna salta a la carta,0,28,6
La contaminación del aire ha provocado en 2021 más de 8 millones de muertes en todo el mundo,0,92,18
Comparativa: El sexo vs. Los chipirones,1,39,6
Faraón que optó por el alquiler se arrepiente de no tener una pirámide de propiedad,1,83,15
Calendario laboral de 2017,1,26,4
Gracias por verme con tan poca antelación.,0,42,7
Las mejores tiendas de campaña para cualquier aventura en la naturaleza,0,71,11
"El Gobierno informa de que José Antonio, el primo de la Mari, ya tiene trabajo",1,78,15
Audiencias: Un control antidoping obliga a cancelar El Chiringuito de Jugones,1,77,11
La colombiana Piedad Bonnett gana el Reina Sofía de Poesía Iberoamericana,0,73,11
Luis Ángel Maté y el Giro: tres historias de mala fortuna,0,57,11
"Dani Pérez: «Magdalena Álvarez es una persona buena, honesta e intachable»",0,74,11
«WLAN_E503: El mejor WiFi de Barcelona»,1,39,6
A favor o en contra: ¿qué futuro le espera al bidé?,0,51,11
Nada como un gol en propia puerta para animar el partido.,1,57,11
"Qué bien, otra vez nuestro equipo defendiendo como si no supieran qué hacer.",1,76,13
China - La combinación entre Angan y Anselmo Ramón,0,50,9
"¿Y cómo funciona eso? ¿Es decir, los traseros son como pequeños departamentos? Sí. ¿Y pueden salirse de los traseros y caminar por su cuenta?",0,141,24
¿Es la mente del bebé un papel en blanco?,0,41,9
"Miles de españoles hacen cola en La Moncloa para decirle a Mariano Rajoy «De nada, gracias a ti»",1,96,18
"El dinero perdido en el PIB, nueva estrategia para defender la propiedad intelectual",0,84,13
Un hombre que prometió empezar a comer sano este año da por perdido 2022 y se plantea empezar a hacerlo en 2023,1,111,22
El expresidente peruano Alberto Fujimori deja la silla de ruedas y se muestra recuperado en la visita al dentista,0,113,19
Una familia insiste en llamar «espacio de coworking» a la residencia donde ha ingresado a la abuela,1,99,17
La primera palabra de un niño es #mamá,1,38,8
Dobles fondos con sistema de domótica: el sofisticado transporte de droga de una red desarticulada en Málaga,0,108,17
Expertos en salud pública promueven la vacunación en adultos para un envejecimiento saludable,0,93,13
Papá subraya el iPad,1,20,4
Es más peligroso un titular engañoso que una noticia falsa,0,58,10
¿Qué debes ponerte si un hombre te invita a su casa a hablar de la república catalana?,1,86,17
El Mozart que «aterra» a los cantantes llega al Real,0,52,10
Espera. ¿Qué estás haciendo?,0,28,4
Más Madrid llevará a Íñigo Errejón a Hermano Mayor,1,50,9
Usman Garuba ficha por los Golden State Warriors,0,48,8
Vivir en la Estación Espacial Internacional ya es más asequible que comprar o alquilar un piso en Malasaña,1,106,18
Ocho de cada 10 jóvenes sufren síntomas de insomnio,0,51,9
Comparativa: Trabajo infantil vs. Ropa cara,1,43,6
Los tribunales arrancan la amnistía con el freno de mano puesto,0,63,11
Cinco oraciones para conseguir que Dios te baje el alquiler,1,59,10
Sabores menos populares de patatas Lay’s,1,40,6
Esta es la semana más barata para viajar este verano,0,52,10
Cinco cubremacetas de mimbre ideales para decorar tus plantas y el hogar,0,72,12
El Unicaja apabulla al Girona con su ritmo insostenible de juego (111-80),0,73,12
¿Por qué no debemos subir fotos de nuestros hijos a las redes sociales?,0,71,13
El asesinato de Indira Gandhi,0,29,5
Misión cumplida,1,15,2
La ONCE pregunta si su logo ha quedado antiguo,1,46,9
"“Por eso se inunda la Ciudad de México, por llevarse a Tláloc”",0,62,12
Lecciones de moda de Napoleón,0,29,5
Miles de personas se manifiestan en Madrid por la abolición de la Monarquía,0,75,13
"Debido al elevado precio del papel, los editores dejarán de publicar libros para poder seguir fumando",1,101,16
La gran oportunidad perdida de Luka Dončić,0,42,7
El ejército israelí se hace con el control de Eurovisión tras masacrar a todos los contrincantes del país,1,105,18
Ikea's huge distribution warehouse for the Costa del Sol and a large part of Andalucía due to be given green light today,0,120,22
Audiencias: Alaska y Mario visitan los informativos de Piqueras,1,63,9
"Quique Llopis, plata en los agridulces 110m vallas de los Europeos de atletismo",0,79,13
Una lagartija cobarde se desprende de su cola ante un niño inofensivo,1,69,12
Llama a Objetos Perdidos de la ciudad de Madrid preguntando por un calcetín negro,1,81,14
La Policía celebra su jornada de manos abiertas,1,47,8
Trump reconoce a Lopetegui como entrenador de la Selección,1,58,9
"Juega Carlsen, pero el foco es para Ding en una de las grandes citas del año",0,76,16
"Me parece humillante que insinúes que no puedo hacer preguntas y divertirme al mismo tiempo. ¿Te parece humillante, Jerry?",0,122,19
"Charlie, si te interesara lo nuestro, estarías de acuerdo con esto.",0,67,11
Los jóvenes cantaores buscan nuevas letras flamencas,0,52,7
Una frágil y temblorosa esperanza,0,33,5
"El Señor de los Nazgul, harto de tener que dejar a su bestia alada en la puerta porque los restaurantes no permiten su entrada",1,126,24
"El lapsus de George W. Bush sobre Ucrania: «Una injustificada y brutal invasión de Irak de parte de Estados Unidos tras fabricar un informe en el que se afirmaba que había armas de destrucción masiva… Ay, digo de Ucrania»",1,221,39
HM Hospitales: docencia y formación para la mejora de la calidad asistencial,0,76,12
"Las ventas de vehículos eléctricos en España está paralizada, según Ganvam",0,74,11
La Policía detiene a una treintena de personas en Dublín tras una noche de saqueos,0,82,15
"Si claro, un viaje super divertido",1,34,6
"Ser devorada por el mar: la maldición de la isla de Buda, en el delta de Ebro",0,77,17
"Liberan a Arturo Valls, atrapado desde hace un año en un «banner» de Media Markt",1,80,15
Un mecánico levanta a su bebé con un gato hidráulico para cambiarle el pañal,1,76,14
"Jack Wild, actor",0,16,3
Un «gamer» acude a urgencias porque le ha salido una barra de vida en la cabeza y no sabe cómo quitarla,1,103,21
"La esencia de Madrid y sus barrios,  protagonista de Madrid Nuevo Norte",0,71,12
Alberto Garzón se despierta con un dolor de cabeza «de la hostia» y recuerda de golpe lo que hizo anoche con Podemos,1,116,22
¿Cómo hemos llegado a conectar la lavadora a internet?,0,54,9
"Priyanka Chopra, una estrella de Hollywood convertida en referente para las jóvenes de la India",0,95,15
Juan Luis Guerra gana el Premio Nobel de Química,1,48,9
Ingresan en prisión siete miembros de una banda que atracaba tiendas de telefonía,0,81,13
La juez acusa al equipo de oftalmología de la clínica Platón,0,60,11
Starbucks venderá la sangre de Cristo en formato Frapuccino,1,59,9
Terapia electoral portuguesa,0,28,3
Todo vendido para el quinto encuentro entre el Unicaja y el UCAM Murcia,0,71,13
¿Jane Austen o una muñeca?,0,26,5
"El equipo rival jugó muy bien, fue un partido muy reñido.",0,57,11
Gallardón y George Orwell,0,25,4
Jornada política del 19 de junio | El presidente del Parlament confirma que no hay candidato y activa un plazo de dos meses para una investidura en Cataluña,0,156,28
Veolia se hace con el contrato para un Materno sostenible: 1.472 ventanas y 874 paneles,0,87,15
Audiencias: Amaia arrasa en la gala de Operación Triunfo con su versión del Cara al sol,1,87,16
Espectacular festival de esculturas de hielo en China,0,53,8
"Iberdrola busca una persona con experiencia, disponibilidad y buena disposición para un trío",1,92,13
 ¿Y por qué esa chica tiene la idea de que eres el gran cajuna?,0,63,14
La camarera pregunta a los comensales si están seguros de que no quieren tomar apuntes mientras ella explica el plato,1,117,20
La elección de Kate Middleton para reaparecer: un vestido blanco de Jenny Packham con un gran lazo,0,98,17
Cepsa comienza a construir la primera planta en España para elaborar la base de los geles hidroalcohólicos,0,106,17
Telefónica investiga el posible robo de datos de 120.000 clientes y empleados,0,77,12
Más control para las ‘golden visa’,0,34,6
Despedido un empleado de La Chocita del Loro tras reírse de un chiste de una mujer,1,82,16
"El mercado de Teatinos, más cerca: la obra durará dos años",0,58,11
"«Al final, el famoso 'efecto 2000' era el populismo»",0,52,9
La Nintendo Switch se venderá con mandos pegajosos de serie,1,59,10
Europa alerta de que la inestabilidad política en España puede provocar un aumento de viñetas de El Roto,1,104,18
"Lloyd Austin, secretario de Defensa de EE UU, padece un cáncer de próstata",0,74,13
"La bici sin ruedas, la última invención que sorprendentemente funciona",0,70,10
Ibon Navarro: «Tenemos que pensar que el lunes va a ser mucho más complicado»,0,77,14
Fresa ácida empieza a hacer comentarios sarcásticos sobre el actual gobierno,1,76,11
La alfombra roja de los premios Emmy 2017,1,41,8
A partir de 2025 habrá precios en el mercado eléctrico cada 15 minutos,0,70,13
"Gabi Martínez, Delta Force de la literatura de naturaleza",0,57,9
El Barça busca nuevos jugadores en la sección de contactos del diario Sport,1,75,13
El Joventut renuncia a la Eurocopa,0,34,6
Sabotea los deberes de su hijo para ahorrarse la compra de una Play Station,1,75,14
Descubren que Dios creó al hombre para echárselo al gintónic,1,60,10
"“¡Camarero, una arepa, un ceviche y un kebab!”",0,46,8
Crean vida por accidente mientras preparaban un gintónic,1,56,8
"“La ELA no tiene ideología, esta ley es imparable”",0,50,9
La biblioteca de Arroyo de la Miel rinde homenaje a Jane Austen,0,63,12
"Mira, no te vas a divertir si analizas todo.",0,44,9
Las mejores frases de la entrevista a Rajoy en Salvados,1,55,10
"Dennis González y Mireia Hernández, campeones del Europeo de natación en dúo mixto técnico",0,90,14
"'Rock & Ríos', la leyenda y el vértigo que nunca se fueron",0,58,12
"Qué bien, otro pase directo al rival, ¡qué gran jugada!",1,55,10
Un Terminator catalán del futuro aparece en el Parlament e intenta disuadir a Puigdemont,1,88,14
Comedy Central contrata a un vigilante gitano para que proteja a sus cómicos,1,76,13
El fútbol se convierte en el segundo deporte más practicado por mujeres en España,0,81,14
El centro de salud de Ricardo Soriano empezará a funcionar en otoño,0,67,12
"Qué suerte, ser famoso significa que siempre estás bajo el escrutinio público.",1,78,12
Los partidos destripan las encuestas para afinar estrategias y taponar fugas de votos,0,85,13
Los intrusos interestelares como ‘Oumuamua’ y ‘Borisov’ son mucho más comunes de lo que se pensaba,0,98,16
El órdago sobre el CGPJ agudiza el pulso de Sánchez y Feijóo con la mediación europea en el alero,0,97,19
Descubierta una horrible ciudad oculta bajo el hielo,1,52,8
Un sacerdote catalán abusó durante décadas de cientos de niñas indígenas en Bolivia,0,83,13
La indefinición del PP deja en el aire la ley de eutanasia solo dos años después de su entrada en vigor,0,103,21
Lamborghini rinde homenaje a su icónico superdeportivo con una edición limitada,0,79,11
La pareja de un invidente lamenta lo mucho que le cuesta encontrar el clítoris al perro guía,1,92,17
Estos son los juzgados de instrucción más bonitos de Barcelona,1,62,10
Burbujas en el hielo para estudiar la atmósfera de hace siglos,0,62,11
Fuengirola tendrá que devolver a la Diputación medio millón de euros tras años de litigio,0,89,15
Un partido solidario acaba con goleada a favor de la droga,1,58,11
"Patinar sobre hielo, una de las opciones preferidas en Bilbao en vísperas de Nochebuena",0,87,14
 Una vendedora.,0,15,2
"Eduardo Inda: “A veces, los bulos me asaltan en el duermevela, como chispazos”",1,78,13
Una empresa baja el sueldo a sus empleados para pagar un curso de «coaching» que motive a sus empleados,1,103,19
Siempre lunes,1,13,2
Trabajo anuncia un acuerdo con sindicatos y patronal para garantizar la igualdad del colectivo LGTBI en las empresas,0,116,18
“Telecinco no puede entender qué está roto en una sociedad que da voz y poder a los maltratadores”,1,98,18
Los actores españoles se preparan para interpretar a un feminista en los Goya,1,77,13
Estrenos en las plataformas de 'streaming' esta semana: del 17 al 23 de mayo,0,76,14
¿Sabes?,0,7,1
Más de 200 especialistas analizarán en Marbella las nuevas técnicos y avances en Neurología,0,91,14
Dos investigaciones dotan de visión más ‘humana’ a coches sin conductor,0,71,11
Rivales encimados y muchos treses en un fin de semana de sueños rotos,1,69,13
Los conductores que circulen por la derecha tendrán preferencia a la hora de insultar,1,85,14
Cómo diferenciar los síntomas del Covid de los síntomas de haber comido demasiado,1,81,13
Un programa de ajedrez es incapaz de procesar una derrota,1,57,10
La Razón regalará a sus lectores los órganos internos de Pablo Iglesias,1,71,12
Quim Torra logra pegar un lazo amarillo en la espalda de Pedro Sánchez sin que éste se dé cuenta,1,96,19
 Ahí está.,0,10,2
España busca un nuevo rey,0,25,5
Investigadores de la Universidad Politécnica de Valencia desarrollan sistemas de climatización libres de legionela,0,114,14
Sin agua potable por falta de cobre,0,35,7
Fan del Barça grita «Barça» a otro fan del Barça,1,48,10
"Los tortazos del hockey sobre hielo, a debate",0,45,8
"René Thom, el matemático que prefería la comprensión al rigor",0,61,10
El Supremo de EE UU ponderará la inmunidad de Trump,0,51,10
Un germen empieza a contar segundos en voz alta al ver que se ha caído un «risketo» al suelo,1,92,19
Doce preguntas indispensables que debes hacerle a un agente inmobiliario,1,72,10
"Milei eleva el tono en la crisis diplomática, pero Sánchez se limita a defender a su mujer",0,90,17
Más de 100 millones de dosis de vacunas contra la covid han quedado obsoletas y sin usar en España,0,98,19
El metro: «Empecé yendo por necesidad y acabé enganchándome»,1,60,9
Así sí que era esa mierda del principio. Una introducción que he compuesto yo mismo.,0,84,15
Nos reunimos el fin de semana para ver un partido y comer juntos.,0,65,13
La NASA no entiende por qué sus dos astronautas mujeres se niegan a salir al espacio en bikini,1,94,18
Las fuerzas ultras sacuden la UE pero los partidos europeístas retienen la mayoría,0,82,13
Crean un móvil con la opción de desactivar el ego para ahorrar batería,1,70,13
Los diez gazapos más sonados de la última temporada de Juego de Tronos,1,70,13
Muere de meningitis a los 17 años la gimnasta María Herranz,0,59,11
Es reconfortante saber que los cambios siempre llegan después de terminar.,1,74,11
Venta de un sable de Napoleón,0,29,6
Los Verdes se perfilan como posible freno de emergencia a la extrema derecha en la UE,0,85,16
Calendario con los mejores festivales de música de España en 2024,0,65,11
"Feliz Navidad. Sí, los fantasmas de las navidades futuras. Idiotas agresivos. Sí que lo son.",0,92,15
Estoy pensando en que Charlie Kaufman es un genio del cine moderno,0,66,12
El sorteo de la Liga de Campeones enfrenta al Reino Unido con Siria,1,67,13
Audiencias: Felipe González indulta a Imanol Arias y Ana Duato en el último capítulo de Cuéntame,1,96,16
Descubren que la UCM no es la universidad en la que matricularon a sus hijos sino el Universo Cinematográfico Marvel,1,116,20
"Análisis de las 26 canciones de Eurovisión: interesantes, irritantes y ‘Zorra’ entre lo mejor",0,93,14
 ¿Cómo cómo revertimos eso?,0,27,4
Horror saudí,0,12,2
Bebé esnob exige a su madre disponer también de leche de soja,1,61,12
Las cartas de Nick Cave y Enrique Bunbury,0,41,8
La urbanización definitiva de las zonas pacificadas en el barrio de Sant Antoni de Barcelona comenzará en 2026,0,110,18
"Totalmente, hagamosla.",0,22,2
De Carlos V a Dashiell Hammett y Humphrey Bogart: 500 años de historia del codiciado halcón maltés,0,98,17
Comienza nueva temporada del ciclo 'Diego & Friends',0,52,8
¿Cómo funciona el supermercado inteligente de Amazon?,1,53,7
El 85% de las mujeres con síntomas de menopausia no recibe una terapia eficaz,0,77,14
" Escuche, señor Harper, voy a ponerle anestesia local, así que sentirá un piquetito.",0,84,13
Cinco trucos para echar de tu Casa Blanca a un presidente que se niega a reconocer tu victoria en las elecciones,1,112,21
Detenidos 10 directivos de la empresa por la explosión de Tianjin,0,65,11
"El Govern adverteix que, un cop superada la pandèmia, caldrà afrontar el monument commemoratiu de Calatrava",1,107,16
Raphael firma con TVE los especiales de Navidad de los próximos 500 años,1,72,13
"Los Celtics de Boston, jugador a jugador, ante el reto de ganar la final de la NBA",0,82,17
Acordes y desacuerdos de Gustavo Dudamel y la Filarmónica de Los Ángeles en Barcelona,0,85,14
La editorial Planeta cierra porque su impresora se ha quedado sin tóner,1,71,12
Estados Unidos celebra su 4 de julio,0,36,7
John Stuart Mill contra el BCE,0,30,6
"Ana Rosa Quintana, satisfecha al comprobar que toda Europa ve su programa",1,73,12
El Tribunal Constitucional imita a Musk y pregunta en Twitter si debe tumbar o no la reforma del Gobierno,1,105,19
Adiós a Mao Zedong,0,18,4
Adiós a la cal de tu cafetera para siempre con este producto de limpieza,0,72,14
Paulo Coelho se rinde y dedicará sus próximos libros a enseñar cómo fingir ser feliz,1,84,15
Esperanza Aguirre adquiere un carruaje con pinchos tirado por cuatro caballos negros de ojos sangrientos,1,104,15
Desfalco,0,8,1
"David Broncano ya ha fichado a Juan del Val, a Miguel Lago y a Trancas y Barrancas para su nuevo programa en TVE",1,112,23
No habrá escuela de Psicología Clínica,0,38,6
Me rindo. Me rindo.,0,19,4
Hace aterrizar un avión dándole instrucciones a su marido para aparcar el coche,1,79,13
El inesperado resurgir del esoterismo: pasatiempo o espiritualidad,0,66,8
Un camarero se saca los ojos para no ver a un cliente marcando el PIN de su tarjeta,1,83,18
Espacio más amplio y una versatilidad distintiva: Así es el Mini Cooper 5 puertas,0,81,14
La crecida del arroyo Medrancho entre Talavera la Nueva y Alberche anega varias granjas,0,87,14
Audiencias: Màxim Huerta recuerda sus días como ministro de Cultura en «Qué tiempo tan feliz»,1,93,15
